id,feature,abs_proto_diff
JVASP-144438,MagpieData mode Column,2.4837719288744524
JVASP-144438,MagpieData mode NsValence,2.144491520717699
JVASP-144438,MagpieData mode NpUnfilled,1.4433068182408464
JVASP-144438,10-norm,1.1084808622163742
JVASP-144438,MagpieData mode NValence,0.8625443665565342
JVASP-144438,avg_dev local difference in Electronegativity,0.8337471982809883
JVASP-144438,avg_dev local difference in NpUnfilled,0.7536911564153765
JVASP-144438,MagpieData avg_dev MeltingT,0.47802260644221717
JVASP-144438,MagpieData maximum MendeleevNumber,0.4471055136094848
JVASP-144438,MagpieData mode NUnfilled,0.39459594730348746
JVASP-155562,avg_dev local difference in Electronegativity,1.7125939922610534
JVASP-155562,avg_dev local difference in GSvolume_pa,1.4063707051533478
JVASP-155562,avg_dev CN_VoronoiNN,1.1244449857001948
JVASP-155562,minimum local difference in CovalentRadius,0.952846420336104
JVASP-155562,maximum CN_VoronoiNN,0.9086670359857517
JVASP-155562,minimum local difference in Electronegativity,0.8501020077432262
JVASP-155562,MagpieData maximum GSvolume_pa,0.8474008970345492
JVASP-155562,MagpieData avg_dev Number,0.7643917631654487
JVASP-155562,minimum local difference in SpaceGroupNumber,0.7643323312875294
JVASP-155562,minimum local difference in MeltingT,0.6824928560340927
JVASP-99724,MagpieData minimum GSvolume_pa,1.668532914198303
JVASP-99724,minimum local difference in CovalentRadius,1.502059008332043
JVASP-99724,minimum local difference in Electronegativity,1.4944257241706673
JVASP-99724,minimum local difference in SpaceGroupNumber,1.3449328473361843
JVASP-99724,minimum local difference in Row,1.2891476663987644
JVASP-99724,MagpieData mode GSvolume_pa,1.1888385329835065
JVASP-99724,avg_dev local difference in SpaceGroupNumber,1.179826766337997
JVASP-99724,avg_dev local difference in GSvolume_pa,1.0451113520800295
JVASP-99724,MagpieData mean GSvolume_pa,1.0118752529607915
JVASP-99724,MagpieData mean Electronegativity,0.9612183878746874
JVASP-138844,avg_dev local difference in Electronegativity,2.1165373643651932
JVASP-138844,MagpieData mean Electronegativity,1.0922483696124188
JVASP-138844,avg_dev local difference in NpUnfilled,1.0205667848586575
JVASP-138844,avg_dev local difference in NpValence,0.9036436270122932
JVASP-138844,MagpieData minimum GSvolume_pa,0.9009438709749065
JVASP-138844,avg_dev local difference in SpaceGroupNumber,0.8864826507215424
JVASP-138844,minimum local difference in Row,0.8707730555488551
JVASP-138844,MagpieData mean GSvolume_pa,0.8396849870521895
JVASP-138844,avg_dev local difference in CovalentRadius,0.7912801951013502
JVASP-138844,MagpieData maximum CovalentRadius,0.7822988904876699
JVASP-151886,compound possible,1.5132791311502192
JVASP-151886,MagpieData mode GSbandgap,1.003842006635939
JVASP-151886,minimum local difference in GSbandgap,0.9967134855717503
JVASP-151886,minimum local difference in Electronegativity,0.8981691963412164
JVASP-151886,avg_dev local difference in MendeleevNumber,0.7035904266843722
JVASP-151886,avg_dev local difference in GSvolume_pa,0.694962228477622
JVASP-151886,avg_dev local difference in Column,0.6655963688828663
JVASP-151886,minimum local difference in GSvolume_pa,0.6342713768767733
JVASP-151886,avg_dev local difference in Electronegativity,0.6213589623694364
JVASP-151886,MagpieData mean Electronegativity,0.6071377481295288
JVASP-26645,MagpieData mode GSbandgap,1.1739234340209732
JVASP-26645,avg_dev local difference in Electronegativity,1.0451177756956427
JVASP-26645,avg_dev neighbor distance variation,0.9692352259960251
JVASP-26645,mean neighbor distance variation,0.9377176934138038
JVASP-26645,avg_dev CN_VoronoiNN,0.7964115753540251
JVASP-26645,MagpieData avg_dev MeltingT,0.7460529636756836
JVASP-26645,avg_dev local difference in NpUnfilled,0.7180244523496631
JVASP-26645,MagpieData avg_dev Column,0.6926697040266411
JVASP-26645,MagpieData mode NpUnfilled,0.6494880682083809
JVASP-26645,MagpieData mean NpUnfilled,0.6359192302329694
JVASP-25638,avg_dev local difference in Electronegativity,1.7219446046378581
JVASP-25638,MagpieData mode GSbandgap,1.3440048614060076
JVASP-25638,avg_dev local difference in NpValence,1.119868375078705
JVASP-25638,avg_dev local difference in CovalentRadius,0.9932337438010959
JVASP-25638,MagpieData mean Electronegativity,0.9538421533648447
JVASP-25638,MagpieData range NdValence,0.9357560211439353
JVASP-25638,mean CN_VoronoiNN,0.8415922322424478
JVASP-25638,0-norm,0.8327652654690533
JVASP-25638,avg_dev local difference in NpUnfilled,0.7441695791633591
JVASP-25638,MagpieData mean NpUnfilled,0.7418408208987368
JVASP-137216,avg_dev local difference in GSvolume_pa,1.8458816630545574
JVASP-137216,avg_dev neighbor distance variation,1.5629137309240337
